,x,y,frel
0,ENSG00000147403,ENSG00000178464,0.999578770008
1,ENSG00000147403,ENSG00000256393,0.983661499791
2,ENSG00000147403,ENSG00000269242,0.977990033223
3,ENSG00000147403,ENSG00000198755,0.499572396419
4,ENSG00000051620,ENSG00000147403,0.376006782535
5,ENSG00000147403,ENSG00000214485,0.24541186513
6,ENSG00000063177,ENSG00000147403,0.216999048047
7,ENSG00000147403,ENSG00000186468,0.19863592594
8,ENSG00000147403,ENSG00000207582,0.167160389336
9,ENSG00000147403,ENSG00000204628,0.163529903806
10,ENSG00000147403,ENSG00000264281,0.127749576988
11,ENSG00000147403,ENSG00000198034,0.0720283481656
12,ENSG00000147403,ENSG00000169047,0.0724576271186
13,ENSG00000147403,ENSG00000175061,0.0681818181818
14,ENSG00000147403,ENSG00000157514,0.0650510204082
15,ENSG00000130741,ENSG00000147403,0.0585738539898
16,ENSG00000147403,ENSG00000269893,0.0566596194503
17,ENSG00000124098,ENSG00000147403,0.0528967254408
18,ENSG00000135842,ENSG00000147403,0.0422354948805
19,ENSG00000147403,ENSG00000182774,0.04362544761225
20,ENSG00000142541,ENSG00000147403,0.0424463821463
21,ENSG00000147403,ENSG00000206597,0.03287483335045
22,ENSG00000147403,ENSG00000279483,0.0363105175292
23,ENSG00000147403,ENSG00000233913,0.0335171828596
24,ENSG00000147403,ENSG00000236552,0.0322170411191
25,ENSG00000139239,ENSG00000147403,0.0296946884149
26,ENSG00000147403,ENSG00000238917,0.0255886905254
27,ENSG00000147403,ENSG00000233927,0.0245129151812
28,ENSG00000130255,ENSG00000147403,0.023172974821
29,ENSG00000147403,ENSG00000226084,0.0178723404255
30,ENSG00000147403,ENSG00000185834,0.016792611251
31,ENSG00000146281,ENSG00000147403,0.0125628140704
32,ENSG00000147403,ENSG00000199410,0.00926705981466
33,ENSG00000111678,ENSG00000147403,0.00764006791171
34,ENSG00000142676,ENSG00000147403,0.00670016750419
35,ENSG00000147403,ENSG00000232037,0.0049710024855
36,ENSG00000147403,ENSG00000235174,0.00464723278411
37,ENSG00000127324,ENSG00000147403,0.00332502078138
38,ENSG00000147403,ENSG00000227097,0.00211237853823
39,ENSG00000105835,ENSG00000147403,0.00169419737399
40,ENSG00000135063,ENSG00000147403,0.0016849199663
41,ENSG00000147403,ENSG00000234287,0.00126315789474
42,ENSG00000147403,ENSG00000178035,0.0012589173311
43,ENSG00000144579,ENSG00000147403,0.000846381718155
44,ENSG00000090975,ENSG00000147403,0.000844238075137
45,ENSG00000147403,ENSG00000200320,0.001053973003378
46,ENSG00000103942,ENSG00000147403,0.00083857442348
47,ENSG00000142541,ENSG00000198755,0.828689428271
48,ENSG00000139239,ENSG00000198755,0.509594882729
49,ENSG00000198755,ENSG00000204628,0.457337883959
50,ENSG00000063177,ENSG00000198755,0.396160675493
51,ENSG00000198755,ENSG00000214485,0.376375952583
52,ENSG00000182774,ENSG00000198755,0.360831796068
53,ENSG00000178035,ENSG00000198755,0.353139485883
54,ENSG00000185834,ENSG00000198755,0.269781144781
55,ENSG00000196275,ENSG00000198755,0.249474127051
56,ENSG00000115268,ENSG00000198755,0.2162335202615
57,ENSG00000198755,ENSG00000236552,0.207057823129
58,ENSG00000198755,ENSG00000256393,0.197737746125
